ID,리뷰어,리뷰날짜,리뷰텍스트
4,hw** ,22.04.15,"색은 화면과 비슷하구요!다만 등쪽이 타이트한
느낌이 있어요 ㅠㅠ그래서 단추 채운것보단 푼게
예쁘더라구요.그리고 생각보다 얇지않아서 지금 입기 딱 좋습니다.구김이 잘 생길 수 있어서 조심해야할것같아용 그래도 가격대비 만족합니다~"
5,so** ,22.09.18,날씨가 갑자기 더워져서 거의 입지 못하고 들고만 있었지만 그래도 핏은 원하던 핏이여서 그냥 저냥 만족합니다~ 그리고  원하던 재질이 아니긴 했지만 핏도 핏이고  급하기도 했고 그래서 그냥 입으려구요~~
5,s1** ,22.05.06,상체에 살집이 조금 있는 체형이라 핏이 예쁘게 떨어지지 않을까 조금의 걱정이 있었는데 생각했던것보다 훨씬 낙낙한 핏이고 어디에나 믹스매치해도 잘 어울리는 깔끔한 디자인이라 완전 만족스러워요 ! 두께감이 얇은 편이라 완연한 여름과 겨울 아니면 어느 계절…더보기
5,ye** ,22.04.19,생각한 것보다 사이즈가 더 큰 것 같아서 놀랐어요. 근데 그 덕에 핏이 더 예쁜 것 같기도 하네요. 아쉬운 건 가슴쪽에 있는 관상용 주머니(?) 마감이랑 전체적으로 먼지가 붙기 쉬운 재질?이라고 해야 할까 잘 관리해야 할 것 같아요. 근데 이 가격에 …더보기
5,dm** ,21.11.02,이번에 데쥬에서 산 것 중에 가장 마음에 들어요! 우선 핏이 예쁘고 질도 괜찮아요. 다른 곳에서 2배정도 가격의 옷을 샀었는데 더 두껍고 질이 좋은 편이긴 했지만 핏이 너무 안예뻐서 반품했었어요. 통통한 분들은 이거 입니다! 남여공용이래서 너무 커서 …더보기
5,kj** ,21.08.12,"어깨패드 있는듯 없는듯 하고
전체적으로 가격에 비해 만족하는 핏,디자인인거같아요
아쉬운건 어깨가 좀 더 탄탄했으면 하거나 소매부분이 저렇게 브이자로 마감된거나 가슴부분에 비스듬하게 박음질된게 아쉬워용
그래도 싼가격에 이정도면 선방한듯?"
6,sh** ,22.08.30,가죽자켓 처음 사봐요 그런데 생각보다 덩치를 크게 만들어주네요 그래도 옷은 예뻐요 그리구 소매에 박음질 이거 뭔가요 ㅋㅋㅋ 검수 스티커는 왜 붙였는지 이해가 안되요! 교환하기 귀찮아서 그냥 입을거지만 검수 더 열심히 하셔야 할듯해요;
6,bj** ,22.05.07,"생각보다 커서 66 정도분들이 입었을때 딱 예쁜 핏일 거 같아요!!!!
44분들이나 좀 마르고 키 아담하신 분들이 입으면 넘 아빠 옷 뺏어입은 느낌 날듯용
166인 저한테도 좀 컸어요 
전체적인 퀄리티는 가격대비 만족했구요 배송도 생각보다 빨리 와서 …더보기"
6,du** ,22.04.19,"진짜 이번 봄 교복 처럼 입고 다닙니다. 라인이 들어간 라이더가 아니고 자켓 처럼 가볍게 입을 수 있어서 적당한 보온과 핏도 아주 좋아요!! 청바지, 슬랙스 정말 아무데나 잘 어울리고. 가격대비 재질도 좋은 듯 합니다ㅎㅎ"
6,sk** ,22.04.14,"배송 느리다고 써있어서 다른 상품이란 따로 주문했는데 다음날 바로 출발했어요 이틀안에 받았습니다
170한테 조금 짧지만 품이 넉넉해서 껴입기 좋아요
근데 주머니가 다 찢어져서 왔네요..ㅎ검수 완료라 써있던데 너덜너덜하네요 그냥 교환하기 귀찮아서 입습니…더보기"
