ID,리뷰어,리뷰날짜,리뷰텍스트
17,co** ,23.09.21,"xs사이즈 구매했는데 핏이 적당하고 딱 좋았습니다!
색깔도 아이보리가 아니라 화이트여서 원하던 색이였어요~
아쉬운 점이라면 보풀이 정말 잘 생기고 때가 금방 타네요ㅠ
그것만 제외하면 색상도 단추도 예쁘고 만족하는 옷이에요ㅎㅎ"
17,sa** ,23.08.27,"깔끔한 화이트 톤의 트위드 자켓입니다
부담스럽지 않은 트위드이고 깔끔한 트위드 조직이라 단정해보이는 제품입니다
다만 자켓 안쪽에 실이 튀어나온 부분이 있어 제품 검수가 잘 안된 듯 하여 아쉽습니다"
18,kb** ,23.10.25,"진짜 실물 깡패!!!
얇기 정도가 딱 지금 입기에 정말 좋은 것 같아요!
원단도 퀄리티가 있으며 츄리닝, 청바지 등 구애 받지 않고 휘뚜루마뚜루 잘 입을 수 있는 옷이에요!
생각보다 옷이 많이 크지만 예뻐서 입을 수밖에 없는 그런,,ㅎ
153인 저에게…더보기"
18,ss** ,21.10.21,"(사진에서 검은색으로 빗금친 부분은 제 에코백임다,,, 옷이랑 색깔이 비슷해서 옷으로 착각하실까봐! ㅎㅎ)

색상은 모델, 상세컷이랑 완전 똑같구, 크기는 생각보다 더 커요! (제가 워낙 왜소해서,,,🥲)
근데 이제 날씨 추워져서 안에 많이 껴입거나…더보기"
18,ca** ,21.11.01,"한 겹만 입기엔 넘 춥고,, 아직 너무 두꺼운 아우터는 좀 아닌 것 같은 바로 지금 낮에만 적당히 입기 괜찮아요
솔직히 질은 별로입니다 엄청 잘 구겨지구요, 얇아서 예쁜 각 잡기 어렵구요 길이 어정쩡하고 줄 당겨서 모양 잡아도 꽤 이상한 모양인데다 지…더보기"
18,ch** ,23.11.02,"핏이 여리여리해보이고 너무 이뻐요 
재질이 면이긴 하지만 생각보다 주름이 막 생기진 않아요
다만 아쉬운 점은 자크가 조금 저렴해보입니다
그래도 가볍게 걸치기도 좋고 배송도 빨랐어요
중딩딸이랑 같이 입고 너무 좋습니다
"
18,jh** ,23.10.08,디자인 예쁘고 휘뚜루템으로 잘 입을거같긴한데 주머니쪽이 찢어져있네요… 그리고 어깨쪽은 뭐 묻어있고 새옷이 맞나 의심스러워요ㅠ 검수좀 잘하고 보내주세요 이미 입어서 그냥 반품못하고 입는데 기분이 너무 안좋네여..
19,hu** ,22.11.23,이런 코트는 다 어깨장군되나봐요 근데 퀄도 좋고 제가 그냥 미쏘 이런데서 산거는 입으면 어깨 너무 아파서 담걸릴정도라 못입었눈데 이건 편해요 색도 이쁘고 잘 입을 것 같아요 한겨울은 좀 힘들듯요?!
19,dy** ,22.11.21,후기에서 좀 크단 말이 있어서 어떨까 궁금했는데 제가 키가 있어서 그런지 너무 이쁘게 잘 맞았어용 두께도 두껍고 질도 좋아서 한겨울 돼도 안에 껴입고 다니면 좋을 거 같아용 완전 이뻐요 최고😻
19,su** ,23.10.31,구석구석 탄탄하네요. 입고 움직일 때 생기는 어깨부분의 주름이 예쁘고 자연스러워서 마음에 들어요.   두툼해서 따뜻할 것 같아요. 자켓 안이 넉넉지는 않아서 얇은 니트 입고 걸쳐주려구요
19,rh** ,23.10.31,"작년에 사려고 장바구니에 담아두었다가 고민하다가
지인이 입으 모습 보고 
차콜 주문하려고 했는데 작년에 품절되다가 못사고
이번에 입고가 되는 사실을 알고
바로 주문했어요
생각한대로 너무 예쁘네요 
퀄리티 마음에 들고 핏도 잘 빠져서 너무 예뻐요 
자켓…더보기"
19,dl** ,23.10.27,"

상자에 잘 포장돼서 왔구 체구가 작은 편인데도 
심한 오버핏도 아니였고 딱 예쁘게 맞았어요!

퀄이 막 와 엄청 좋다!!!! 이정도는 아니고 가격대비 괜찮은 것 같아요! 단추 부분이 좀 우는 경향이 있고
내부 포켓이 있었으면 참 좋았을텐데 아쉬워요…더보기"
20,kd** ,23.10.24,"옷 자체는 무난하게 예쁘고 다 좋은데 실밥이 소매 어깨 주머니 등등 군데군데 있어서 열심히 미용해줬어요••
그리고 뭔가 미묘하게 하얀 먼지들이 붙어있어서 돌돌이까지 해줬네용
검수 좀만 더 꼼꼼히 해주셨으면 더 좋았을거같아요
그래두 옷은 딱 상상하던대로…더보기"
20,qk** ,23.10.24,"검은색 트위드가 사고 싶어서 구매했어요 10월에 입기 좋은 두께감이에요 더 추워지면 입기는 좀 힘들것 같고 코트 안에 입을 순 있을 것 같아요! 사이즈는 S이랑 M 고민하다가 슬림핏 말고 여유 있게 입고 싶어서 M으로 했는데 딱이에요
"
20,ka** ,23.09.21,"짜임이 고급스러워 맘에 들어요. 
색상도 블랙이라 어디든 매치하기 용이해서 좋고 
슬랙스나 청바지와 같이 매치해 출근룩으로 활용하기 좋아요 :-) 

판매자에게 제품비 일부를 지원받았지만 저의 솔직한 후기입니다"
20,el** ,23.09.18,"너무 마음에 들어요! 정말 휘뚜루마뚜루 잘 입을 옷이네요
하객룩으로도 좋을 것 같고 경조사용으로도 딱이고 퀄리티도 너무 만족스럽습니다
상체 통통에 162/52
두꺼운 팔뚝 가려줘서 넘 좋아요 딱 일자핏"
20,ki** ,23.09.17,"퀄리티좋은 베이직 트위드 자켓입니다.
가을에 입기에 좋아요! 초겨울까진
문제없겠어용~~
44반 사이즈 s로 핏팅히니 살짝 오버사이즈 되는것같아용



. ""판매자에게 제품비의 일부를 지원받았지만 저의 솔직한 후기입니다."""
21,k_** ,21.03.25,"4월 초 주말에 결혼식 갈 일이 급 생겨서 주문했는데, 하루만에 와서 너무 놀랬아요! 근데 주문하고 리뷰를 더 읽어보니 55사이즈 분들밖에 없더라구요ㅠㅠ
저는 159/56키로 66사이즈만 입을 수 있는 사람이라 조마조마 했는데! 생각보다 잘 맞아요ㅎㅎ…더보기"
21,ju** ,21.03.11,"자켓을 딱 만졌을때 살짝 도톰한 감이 느껴져요 많이 얇진않네요!! 딱 정석 블랙이고 팔은 길어요 그리고 어깨,, 가 다른 리뷰들에서처럼 살짝 커요 그래서 쬐끔 부담스러운 느낌이 있어요,, 근데 머리로 대충 가리고 ㅋㅋ 깔끔하게입기 좋네요! 안에 이너를…더보기"
21,ej** ,23.04.26,"포장 깔끔하게 와서 너무 마음에 들었어요
입었을 때 어깨가 각이져서 잠궈서 입으면 
너무 어깨가 각져서 단추를 잠그지 않고
풀어서 입을 때 예뻐요! 제 몸이 듬직해서 그런지
모델과 분위기는 좀 다르지만 질도 괜찮고
디자인도 깔끔해서 마음에 들어요"
21,be** ,23.03.30,"말모.. 블랙 너무 잘 입고 있어서 올라오자마자 구매했는데 넘 예뿌네요 ..🤍
외출하고 와서 대충 뜯자마자 입어 본 건데도 예뿌고 누오스 아이보리랑도 찰떡,, 
소재 얇아졌대서 덜 탄탄할까 걱정했는데 퀄리티 그대루 조아요 🥹"
21,dk** ,23.09.21,"어깨랑 팔뚝살 많은 상체발달체형이라 낑기면 어쩌지 했는데 안에 두꺼운 옷은 못입을 것 같긴 하지만 얇은 이너랑 입으면 딱 이쁜핏으로 떨어져서 좋아요
재질은 딱 가격정도의 느낌이었고 두께감은 살짝 도톰한 자켓이어서 코트꺼내기전까지 입으면 좋을 것 같아요"
22,ey** ,23.10.29,급하게 정장자켓이 필요해서 찾다가 발견했는데 너무 잘산거같아요! 제가 키가 작고 쫌 왜소해서 잘못사면 아빠옷 입은것처럼 보이는데 이거는 길이나 폼이 그냥 박시한느낌으로 잘 맞았어요! 세미정장느낌을 원했는데 딱 그런느낀이어서 좋았고 진짜 길이감이랑 핏이…더보기
22,6g** ,23.09.13,"결론: 아주 만족해요!! 베이지 컬러도 재구입 의사 100%

면접에서 입을 정장자켓이 없어서 급하게 주문했어요!!토요일 저녁 8시쯤 주문했고 (당일 밤에 출고됨) 일요일 지나 월요일 오전에 바로 도착했어요!!

와.. 지방인데도 이리 빠른 처리라니 …더보기"
22,xo** ,21.08.29,"일단 재질이 진짜 최고에요
사실 핏이나 다른 건 그냥 그냥 다른 자켓들이랑
별반 다를 바 없는데 재질이 유독 눈에 띄게 고급진 느낌..?? 
다만 품은 너무 크고 이에 반해 팔은 살짝 딱 맞는..? 팔살이 있으면 타이트했을 것 같은 느낌인게 좀 아쉽네…더보기"
22,ji** ,21.05.02,예뻐요 작년 때 구매했었는데 잘 입고 다니다가 잃어버려서 그냥 똑같은걸로 재구매했어용 뭔가 품이나 두께가 달라진거같은 느낌을 받았지만 괜찮아용 가볍게 걸치기에 딱 좋을정도로 얇아요 긋긋
22,38** ,20.04.12,키가 157이라 자켓 잘못입으면 아빠옷 훔쳐입은것같아서 길이는 수선했어요! 자르기 전 길이도 진짜 예쁜데 전 키가 작아서 수선한거구 마감이나 재질 진짜 완벽해요 편하고 ㅠㅠㅠㅠ 핏도 진짜 미쳤어요.. 다들 이거 사시기 바랍니다 .. 이거 사고 나갈곳없…더보기
23,jc** ,21.08.19,"일단 엄청 만족스러워요💗
다들 사이즈를 크케 시킨 분들이 많아서 s를 사야할지 계속 고민하다가 결국 s샀는데 딱 좋아요!!! 길이는 다 똑같다고 써있는데 길이도 저한테 딱 맞네요:)) 딱 엉덩이까지 가려져요!!! 
실밥이 여기저기 많은거 빼고는 엄청…더보기"
23,rk** ,21.07.16,"루즈핏으로 입고싶어서 m으로 했는데 더 작은 사이즈했어도 괜찮았을 것 같아요
색상은 완전 백아이보리는 아니고 크림색이 살짝 섞인 색입니다
안이 다 비칠반큼 얇긴하나 소재가 시원한 소재는 아니라 요즘같은 한여름엔 더워요
편하게 입기 좋습니다"
23,uj** ,21.07.11,"평소 55입는데 키가있어서 그런지 여유있게 약간 오버핏으로 예쁘게 입을수있어요
완전 얇아서 찰랑거리는 정돈아니예요
하지만 구김도 잘안가고 안에 박음질이 꼼꼼해서 더 만족스럽네요
어깨패드 걱정했는데 오히려 핏 잡아주는거 같아서 맘에들어용"
23,ds** ,21.07.08,"170/73이고 살이 급쪄서 77로 입는 상비에 엄청난 어깡입니다...
자켓은 오프에서만 사다가 급하게 약속이 잡혀서 직진배송으로 반팔자켓 사게 됬는데 생각보다 실물 착용샷 되게 이뻐요!! 검정이라 유행도 안 타고 괜찮은 것 같아용
그리고 다들 리뷰에…더보기"
23,mi** ,21.07.01,오자마자 잠옷 위에 입어본 ^^.. 단추부분이랑 옷 여미는 부분이 살짝 마감이 덜 되어있었고 배 부분 옷에 검은색으로 뭐가 묻어있더라구요 ㅠ 새옷 냄새도 확실히 많이 나고 어깨 뽕이 진짜 .. 뽕실하더라구요 ㅋㅋㅋㅋ 근데 전 그렇게 심하다고는 생각 안…더보기
24,pa** ,23.11.11,"트위드자켓 좋아하는 1인으로써 이때까지 구매한
트위드 자켓중 어깨핏이 저한테 가장 이뻤습니다 깔끔한 아이보리인줄 알고 구매했는데 펄감이 부담스럽지 않게 있어서 더더욱 이뻤구요 없었으면 밋밋했을듯..! 무엇보다 저렴한 가격에 퀄리티가 말이 안되게 좋아서…더보기"
24,hy** ,23.11.10,"결혼식 하객룩으로 구매했는데
만족스러운 트위드 자켓이네요!
🌈160/48kg기준으로 보면
🎀사이즈는 적당히 맞는편이긴 한데 통이커서 앞뒤로 많이 널널하네요
🎀재질은 생각보다 도톰하고 탄탄한 편이고 각을 잡아줘서 좋아요 두께도 있는편인데 날씨가 갑…더보기"
24,ra** ,23.11.09,"옷이 저렇게 실밥(?)이 나와있어요.. 자르면 안될 것 같고 멀리서 보면 티는 안나니까 그냥 입으려고요 단추 쪽 마감도 실이 다 나와있고.. ㅎㅎㅎ 옷은 따뜻하고 좋아요
잠그고 다니기엔 저에겐 딱 맞아서 풀어서 다닐 것 같아요 길이는 적당했어요"
24,db** ,23.11.08,"가격에 비해 퀄리티 좋아요! 모양도 예쁘고 따뜻해요
거칠거칠한재질에 은사가 섞여있는 옷이에요 수세미가 생각 난 달까요 ㅋㅋㅋ(살이 닿는부분 안감있어서 괜찮음!) 단추는 플라스틱인데 금속소리가 나는 느낌?? 막 싼티나는 느낌 아니여서 괜찮아요ㅎㅎ 
조금…더보기"
24,mi** ,23.11.07,"두꺼워서 겨울철 입기 좋아요
단추 걱정 좀 했는데 가벼운것 치고 싼티가 덜 나긴 합니다만 안나진 않네요ㅎㅎ. 
그래도 가격대에 비하면 전체적으론 괜찮아요.
그냥 싼티 나는거 싫으면 확실히 값나가는걸 선택하는게 맞는것 같습니다ㅎ 막입기 좋은거 같아서 잘…더보기"
25,wk** ,23.10.28,"옷자체는 예쁘고 핏 좋고 고급집니다! 근데 다른
후기들에도 있듯 흰색실밥? 먼지가 너무 많이 나와요ㅠ  탈탈털고 돌돌이하고 입었는데도 입고난 뒤에 하얀 고양이 안은 듯한 ㅋㅋㅋ 상태가 됩니다ㅜㅠ 그게 아쉬워서 하나 뺐어요!"
25,da** ,21.12.25,"솔직히 블랙컬러로 3사이즈 시키려다가 모르고 화이트 색상을 담아버려서...사이즈도2이고 ㅠㅠ 바꿀까 했지만 부담되지않은 컬러에 사이즈도 괜찮길래 입었어요!

우선 안에 뭔가를 껴입기도 해야하고 팔이 딱 맞을까봐 3사이즈를 시킬라했돈 건데 2사이즈도 널…더보기"
25,yo** ,23.03.08,"사이즈 적혀있는대로 구매했더니 딱 맞고 너무 예뻐용
퀄리티는 딱 가격 값하는 것 같아요
후기대로 실밥이 많이 떨어져서 찍찍이로 한번 밀고 입으려고요
배송도 빨리와서 입으려던 날에 입을 수 있겠네용"
25,tj** ,23.03.04,해당 제품 후기 만족도가 높은 것 같아서 구입해봤어요 근데 진짜 퀄리티 좋네요! 처음에 실밥이 많이 떨어진다고 해서 꺼내자마자 화장실가서 함 털으니깐 확 실밥 날리더라구요 그 이후는 그렇게 날리지 않는 것같아요 그리고 좀 얇진 않을까 생각했는데 재질도…더보기
25,cu** ,21.11.04,"자켓핏이 너무 예뻐요!
색감도 화사해서 데일리로나 격식있는 자리에 자주 입고 나갑니당 단추도 따로 사서 추가로 달아보니까 트위드느낌나고 고급져보여서 더 좋습니당!"
26,go** ,20.05.18,제가 요즘샀던옷중에 제일 사랑하고 뿌듯한옷이예요 질감도 나쁘지않거 핏도이뻐요 재질은 너무 좋아요 근데 77~88입으시는분들 한사이즈 작게사셔도 괜찮을듯해요 오히려 킨거사니깐 약간 어깨가 넓어보여요
26,ye** ,23.03.27,옷이 가볍고 원하던핏이라서 너무 좋아요 ㅜ ㅜ 길이도 맘에들어요 ! 개개인마다 원하는 핏이 있겠지만 저는 약간 딱붙는거보다 오버핏 그대로 원했던건데 진짜 오버핏이에요! ( 이상한 큰옷입은 느낌 X )
26,su** ,22.09.23,예전에 모카 색상도 구매했었는데 데일리로 입기 편해서 블랙도 하나 구매했어요! 딱 제가 원하는 오버핏이고 주름도 많이 지지 않아서 좋아요. 아무데나 휘뚜루 마뚜루 입기 좋습니다! 편해요.
26,wl** ,21.09.02,170센치인데 겁나 커요ㅋㅋㅋ 아빠꺼 입는듯한 느낌은 그래도 안나서 다행이고 두께는 생각보다 얇은편? 초가을 즈음에만 입을 수 있을거같네여! 그리고 모카모카 라기보단 뭔가 초록색이 약간 아주약간 섞인 색이에여 그래도 전체적으로 마음에 들어서 걍 입을라…더보기
26,wl** ,21.05.17,어깨가 많이 넓고 팔이 긴 편이라 사이즈1을 시키기엔 영 불안해서 2로 시켰는데 팔이 좀 짧긴 하지만 만족했어요!! 워낙 크게 나와서 부하게 보이는 것 같긴 하지만 그래도 착용감이랑 옷감 상태 좋았습니다:) 자켓 입고 주변 반응도 매우 좋아서 기분 좋…더보기
27,jy** ,23.10.08,"생각보다 광이 심하지 않아서 그렇게 싼티나ㅜ보이지는 않는거 같아요
생각보다 소매길이도 길고 품도 커서 여유있게 핏되는 옷이에요!!
레더자켓 입어본적이ㅜ없어서 입문용 느낌으로 사봤는데 잘 입고 다닐거 ㅅ같숩니당"
27,is** ,21.10.18,처음 왔을 때 냄새가 조금 나긴 했지만 며칠 밖에 두니까 확실히 냄새가 잘 안 났어요. 색은 처음 봤을 때 조금 어둡나? 싶었는데 입어보니까 그냥 그 색 그대로여서 만족스러웠고 밑에 끈으로 핏 조절 안 하니까 정말 이상한 핏이여서 당황했지만 핏 조절하…더보기
27,yo** ,21.10.07,"우선, 그리 고급진 느낌은 안 나는 것 같아요 
(별점이 4개인 이유..)

그렇다고 싼티가 나는 건 아니에요 ! 
그리고, 엄청 진한 검정은 아니에요 (화면보다는 조콤 밝은.?)

입어보니깐 얇게 기모안감이 있어서
집에서 시착해보니 조콤 더워지더라구…더보기"
27,so** ,23.11.04,"지금 제 최애 자켓이예요.
가죽자켓은 딱맞는 핏으로  입는걸 좋아하는데 딱 사이즈도 좋아요. 지금 입기 딱 좋아요.
컬러도 이쁘고 편하게 입는 중 입니다"
27,ek** ,21.10.13,"색상 블랙이랑 그레이색상 샀는데
그레이는 아직 안왔구요 블랙이 먼저왔는데 
가격대비 퀄리티 너무 좋아요,, 핏도 너무 이쁘구여 
밑에 조절끈으로 조절했을때랑 안했을때 다른느낌으로 입을수 있어서 좋아요 ! 기장도 너무 길지도 짧지도않은 적정선이라 아주 …더보기"
28,dm** ,23.09.26,"화면이랑 다른 옷인거 같아요
화면은 뒷트임이 없고 원단도 뭔가 차르르한 느낌이던데..
두께도 생각보다 있고 , 길이도 좀더 길었음 좋았을거 같아여
생각한거랑 달르지만 그래도 핏도 이쁘고 나쁘지 않네요
연휴때 입을거라 나름 만족하고 입으려구여
"
28,mo** ,22.10.13,"추석 세일때 3.2에 샀습니다. 그 당시에도 후기가 좋아서 후기들 믿고 샀어요. 가격이 왜 저렇게 싼가 했는데, 타 브랜드 자켓에 비해 옷감의 밀도가 낮아서 주름이 꽤 남는 소재입니다. 재질이 썩 좋은 편은 아니지만, 스팀 다리미로 다리면 주름은 잘 …더보기"
28,je** ,22.09.22,"저는 솔직히 아우터는 비싼거 입어야한다 주의라서 웬만하면 이런 쇼핑몰에서 자켓은 잘 안사는 사람입니다. 근데 솔직히 놀라고 괜찮은 부분이 많아서 이렇게 후기를 남겨요! 결론적으로 다른 색 재구매 의사 있습니다.

색상 : 전반적으로 쿨톤에게 적합한 노…더보기"
28,ha** ,22.09.22,가격도 저렴하고 베이지 자켓도 없어서 구매해봤는데 대대만족입니다 .. 🫶🏻 완전 기본에 살짝 오버핏이라 핏도 너무 예쁘구 탄탄하니 재질도 좋아용 검은색도 하나 살까 고민중입니드 다들 주저말고 구매가세용
28,th** ,22.09.14,"후기보고 고민도 안하고 시켰는데 너무 좋네요...
너는 어깨가 좁아서 어깨패드 들어간 옷을 좋아하는데 이거 최고에요 ㅜㅜ 다만 제가 샀을때는 세일을 많이해서 3만원 중반대얐는데 조금 비싸졌네여 하지만 퀄리티가 좋으니까 차콜도 시키러가겠습니다"
29,yu** ,21.04.21,플리츠스커트랑 세트로 입고싶어서 산건데 왜 이제야 샀는지 참 후기보니까 옷걸이랑 같이온다해서 신기했는데 진짜 옷걸이에 딱 예쁘게 와서 한 번 더 반했어요ㅠㅠ 블랙업에서 옷 처음사보는데 다음에 또 구매할거같아요 질도 진짜 좋고 어깨뽕이 있어서 살짝 어깡…더보기
29,yu** ,21.03.14,"셋업으로 구매했는데
자켓이 딱 이뻐요!!
보통 제 체구에 다른 크롭자켓 사면 애매하게 크고 그래서 반품하는 경우가 많았는데 블랙업껀 정말 잘 맞고 이쁘네요퓨ㅠㅠ
색상도 잘빠졌습니당
세트로 구매하시는 거 추천드려요!"
29,ha** ,21.02.15,길이도 딱 원하는데로 딱 떨어져서 진짜 마음에 들어요! 재질이 살짝 얇은감이 있나 했는데 입어보면 얇다는 생각이 안나고 부드럽고 좋습니다.  곧 봄이 오는데 입기 딱 적당한것 같아요ㅎㅎ 어깨에 패드까지 있어서 핏도 예쁩니다~
29,wj** ,21.01.13,어깨뽕이 너무 과하지 않을까 생각했는데 하나도 과하지않았고 핏이 너무 예뻤어요 특별한 날 입었는데 진짜 분위기 바로 압살해버리는 그런 느낌이에요 엄청 고민하면서 샀는데 왜그랬나 싶어요 살짝 얇지만 실내에서 입은거라 아무렇지 않았숩니당  ◡̈ 그리고 크…더보기
29,ks** ,21.09.25,"롤리 셋업 수트 사고 싶은데 도미닉 슬랙스가 이미 있으신분들!!!!
롤리 슬랙스가 짧을까 봐/길까 봐 도미닉 슬랙스 사려는 분들!!!!

롤리랑 도미닉 원단 똑같습니다
다르더라도 육안으로 구분 안될 정도로 비슷해요
셋업으로 입어도 전~~~혀 티나지 않…더보기"
30,kk** ,21.07.19,"사실 설명글도 안읽고 후기도 안보고 그냥 예쁘길래 샀어요!
배송 받았더니 너무 시원한 재질이고 구김도 아예없어서 좋았어요! 린넨 자켓은 구김이 너무 심해서 손이 안가더라구요 ㅠㅠ  쿨링자켓은 그럴 걱저없이 유행도 없이 쭉 입을 수 있을 것 같아요🤍✨…더보기"
30,al** ,21.06.07,"배송이 좀 늦긴했는데 포장 너무 예쁘고
다들 너무 크다고하는데 저는 오히려 체구가 정말 작은편이여서 이렇게 핏을 살려주는 옷이 너무 좋아요ㅠㅠ 색깔은 생각보다 밝은편이긴 하지만 어느 톤에 다 잘어울릴만한 화사한 컬러고, 툭 떨어지는 핏이 정말 예쁘네요"
30,my** ,23.06.28,"일단 핏이 너무 이쁘고 마음에 들어요! 가벼워서 시원하구요! 어깨뽕이 좀 심한거 같아서 뺄지말지 고민중인데 일단 입고있어요! 요즘 제 교복입니당
다만 썸머자켓인데도 저렴한 가격이 아닌데 실밥들이.. 
마감처리에 신경좀 써줬으면 좋겠어요  
또 하나, …더보기"
30,ah** ,23.08.09,"생각보다 네모난 모습이에요. 사진에선 포즈때문에 네모로 안보인 거 같아요. 완전 고퀄리티라 깜짝 놀랐어요!! 여기단골 등록 ♡.♡ 엄청 얇아서 여름에.입기 딱 좋을 거 같습니당. 제 키가 작으니 사진보시는 분들은 참고하세용

(키154)"
30,pp** ,22.06.10,"일단 배송 너어어어무 느렸음…. 그래서 취소할까 말까 하다가 꾹 참아봤는데 역시…퀄 너무 좋구요 비닐 안에 예쁘게 접어서 와서 기분이 좋았어요:) 받아보니 린넨 느낌이라 지금 입기는 살짝 춥고 6월 말이면 입을 수 있을 듯요!
근데 어깨 패드가 비쳐서…더보기"
